user_000026	2008-05-11T21:13:02Z	7c158ea8-c0aa-410e-bdc1-20bba9759577	Sads	e301cc54-d5a4-4135-8bcc-ca89545ff6cd	Darkness Is My Spiral Mind
user_000026	2007-05-27T13:38:37Z	e21857d5-3256-4547-afb3-4b6ded592596	Gorillaz	6d294fcd-d214-42b0-8640-6ab202a937d7	Kids With Guns
user_000033	2006-10-02T07:31:05Z	37e9d194-6110-4e03-9042-79e718954e5f	Sadness	e321cc54-d5a4-4135-8bcc-ca89545ff6cd	Darkness Is My Spiral Mind
user_000033	2006-03-06T20:19:21Z	53588060-c3bb-4c30-bb60-462e5b8aa270	Joby Talbot	0be08d91-1cfd-4c08-badf-78af4175b315	Vogon Poetry
user_000199	2008-12-11T11:20:22Z	c7437df4-6fac-4c89-99ae-f8640f268222	Crass	474b87d8-3912-4b6c-93df-00ba472f0368	Angels
user_000199	2007-08-03T23:10:23Z	ffe16bba-4d84-409b-8f22-5242c60b930f	Straylight Run	765d62d7-d97d-4421-bed8-54f983ada700	Cover Your Eyes
user_000199	2006-05-14T23:47:09Z	05fcd213-ded5-4a9f-b184-32640bfeee56	Hi Ho, Six Shooter!	3caca9f4-09cf-444f-bb6f-40c7d1c90386	Love Leaves Its Abusers
user_000210	2008-02-18T14:06:50Z	541f16f5-ad7a-428e-af89-9fa1b16d3c9c	Pantera	be4b7ca5-a581-4341-b8a1-5618facf9bbc	Fucking Hostile
user_000249	2009-01-22T13:27:16Z	80b3cf5e-18fe-4c59-98c7-e5bb87210710	The Roots	7da5173e-d327-4722-8327-e97dafbd2f46	Diedre Vs. Dice
user_000249	2006-02-24T06:49:10Z	2eada8f8-056a-4093-bbc2-004909ce743b	Broken Social Scene	d286d7c0-9fa5-471c-ad85-955535d0d82e	Our Faces Split The Coast In Half
user_000344	2006-05-13T12:00:46Z	541f16f5-ad7a-428e-af89-9fa1b16d3c9c	Pantera	be4b7ca5-a581-4341-b8a1-5618facf9bbc	Fucking Hostile
user_000377	2007-10-08T10:24:39Z	6892b2b1-bf58-487a-a108-a84d12016219	Sunz Of Man	26db19a2-e5b8-4b9c-a0b6-4f19182ea591	Champagne Room
user_000377	2007-08-12T16:19:02Z	6892b2b1-bf58-487a-a108-a84d12016219	Sunz Of Man	26db19a2-e5b8-4b9c-a0b6-4f19182ea591	Champagne Room
user_000384	2008-01-08T17:13:56Z	5b11f4ce-a62d-471e-81fc-a69a8278c7da	Nirvana	6c2ddd68-92b0-48f2-90bd-ad760850e514	Heart-Shaped Box
